Measure,sex,Age,Year,No. of deaths,Upper bound,Lower Bound
Deaths,Male,80-84,2003,3006.7697323815137,3799.426109277989,2237.93783310786
Deaths,Female,80-84,2003,4163.308415702906,5290.071591490666,3167.320827228937
Deaths,Male,85-89,2003,1707.087139287938,2152.1290560914413,1349.0247012732784
Deaths,Female,85-89,2003,2949.850317198181,3679.527243372732,2257.1569903563973
Deaths,Male,90-94,2003,646.2320949226608,832.6412179650797,517.4869404833737
Deaths,Female,90-94,2003,1245.9528621143509,1551.512612917375,944.7953832567908
Deaths,Male,50-74,2003,14916.719797370555,20517.82124173096,10057.674668006468
Deaths,Female,50-74,2003,9617.754740370625,13680.938833584556,6494.686106282371
Deaths,Male,10-24,2003,160.5944644667946,232.1879569092552,95.60429858518944
Deaths,Female,10-24,2003,155.25518711216787,250.0420129131921,84.61347581751043
Deaths,Male,10-19,2003,62.77642371446532,93.4779338609106,35.81230748046066
Deaths,Female,10-19,2003,68.42167244427797,106.41099706350798,39.25748978592944
Deaths,Male,10 - 54,2003,4265.624030116117,6000.652994711197,2846.9650091212907
Deaths,Female,10 - 54,2003,2470.351878307919,3754.755541239828,1468.6343017011177
Deaths,Male,15-39,2003,841.0693989670009,1148.6743923494591,567.2601679431531
Deaths,Female,15-39,2003,547.6232261314346,857.1224218570832,308.05773720391414
Deaths,Male,65-74,2003,8258.266434816858,11157.199774311344,5712.870300440862
Deaths,Female,65-74,2003,5522.3158346806085,7628.230295476174,3865.2008700485744
Deaths,Male,95+,2003,203.560131240846,257.7099464974297,155.09020284580072
Deaths,Female,95+,2003,447.47885557177415,567.436588903786,321.75027498551606
Deaths,Male,75-84,2003,6667.254873334323,8608.311707372459,4937.188365565252
Deaths,Female,75-84,2003,8297.447397302578,10641.76382900736,6274.639398527803
Deaths,Male,20-54,2003,4202.847606401652,5912.59160122477,2802.624628159589
Deaths,Female,20-54,2003,2401.9302058636413,3644.3969595543226,1425.0153507521084
Deaths,Male,15-19,2006,64.29779704797822,93.69257696864548,38.10886815053029
